komoditas,opt,Provinsi,kab_kota,tahun,triwulan,luas_komoditas,serangan_ringan,serangan_berat,total_serangan,Luas Pengendalian APBN (Ha),Luas Pengendalian APBD I (Ha),Luas Pengendalian APBD II (Ha),Luas Pengendalian Swadaya (Ha),total_pengendalian,cara_pengendalian,provinsi_folder,file_asal,provinsi,tmax_rata,tmin_rata,suhu_rata,hujan_total,gdd_total_triwulan,jumlah_hari,gdd_akumulasi_tahunan,tbase,gdd_kuning,gdd_merah,intervensi_hijau,intervensi_kuning,intervensi_merah,gdd_triwulan_final,gdd_akumulasi_final,status,intervensi
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2023,3,21419.5,365.0,58.0,423.0,0.0,0.0,0.0,200.0,200.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2023.xlsx,Bangka Belitung,32.01,24.89,28.45,215.53,1660.5,90.0,4793.53,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2023,4,3167.71,77.0,30.5,107.5,0.0,0.0,0.0,39.0,39.0,"Penyemprotan, herbisida",Bangka Belitung,Data serangan OPT 2023.xlsx,Bangka Belitung,31.77,24.41,28.09,527.57,1663.94,92.0,6457.47,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2023,4,6240.54,25.0,0.0,25.0,0.0,0.0,0.0,12.0,12.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2023.xlsx,Bangka Belitung,31.77,24.41,28.09,527.57,1663.94,92.0,6457.47,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG,2023,4,3567.2,132.12,13.32,145.44,0.0,0.0,0.0,86.15,86.15,"Penyemprotan, herbisida",Bangka Belitung,Data serangan OPT 2023.xlsx,Bangka Belitung,31.77,24.41,28.09,527.57,1663.94,92.0,6457.47,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2023,4,21419.5,638.0,47.0,685.0,0.0,0.0,0.0,150.0,150.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2023.xlsx,Bangka Belitung,31.77,24.41,28.09,527.57,1663.94,92.0,6457.47,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2023,4,17116.93,995.0,527.0,1522.0,0.0,0.0,0.0,237.0,237.0,Mekanis,Bangka Belitung,Data serangan OPT 2023.xlsx,Bangka Belitung,31.77,24.41,28.09,527.57,1663.94,92.0,6457.47,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2024,1,3140.26,77.0,30.5,107.5,0.0,0.0,0.0,39.0,39.0,herbisida,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.76,24.53,28.15,115.06,1578.86,87.0,1578.86,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2024,1,3071.8,25.0,0.0,25.0,0.0,0.0,0.0,12.0,12.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.76,24.53,28.15,115.06,1578.86,87.0,1578.86,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2024,1,19173.5,638.0,47.0,685.0,0.0,0.0,0.0,150.0,150.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.76,24.53,28.15,115.06,1578.86,87.0,1578.86,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2024,1,7692.61,995.0,527.0,1522.0,0.0,0.0,0.0,237.0,237.0,Mekanis,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.76,24.53,28.15,115.06,1578.86,87.0,1578.86,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG,2024,2,3399.3,132.12,13.32,145.44,0.0,0.0,0.0,86.15,86.15,herbisida,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.73,24.56,28.15,823.55,1597.17,88.0,3176.03,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
